,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
547,SVN,1995,1989872.0,10738.0887611468,13.4637296178669
548,SVN,1994,1989443.0,8243.89895545106,20.9918180471498
549,SVN,1993,1991746.0,7254.58887417768,31.7621306305932
550,SVN,1992,1996498.0,7151.15243829224,209.933731186822
551,SVN,1991,1999429.0,7229.31149788617,114.832935589747
552,SVN,1990,1998161.0,9925.14071044684,552.083528914325
553,SVN,1989,1996351.0,,1281.44349404876
554,SVN,1988,1995196.0,,198.753712862023
555,SVN,1987,1989776.0,,132.072721014831
556,SVN,1986,1965964.0,,95.8865052101644
557,SVN,1985,1941641.0,,79.4063811481874
558,SVN,1984,1932154.0,,53.6719669102484
559,SVN,1983,1922321.0,,40.2134918436935
560,SVN,1982,1910334.0,,30.1125435950715
561,SVN,1981,1906531.0,,42.6229527318244
562,SVN,1980,1901315.0,,
563,SVN,1979,1882599.0,,
564,SVN,1978,1862548.0,,
565,SVN,1977,1842377.0,,
566,SVN,1976,1820249.0,,
567,SVN,1975,1793581.0,,
568,SVN,1974,1776132.0,,
569,SVN,1973,1766697.0,,
570,SVN,1972,1752233.0,,
571,SVN,1971,1738335.0,,
572,SVN,1970,1724891.0,,
573,SVN,1969,1713874.0,,
574,SVN,1968,1704546.0,,
575,SVN,1967,1689528.0,,
576,SVN,1966,1669905.0,,
577,SVN,1965,1649160.0,,
578,SVN,1964,1632114.0,,
579,SVN,1963,1616971.0,,
580,SVN,1962,1603649.0,,
581,SVN,1961,1594131.0,,
582,SVN,1960,1584720.0,,
583,SVN,2024,,,1.96562656432512
584,BGR,2023,6446596.0,15885.5391311331,9.44284140088564
585,BGR,2022,6643324.0,13644.201582807,15.3252589264366
586,BGR,2021,6877743.0,12274.0775950496,3.29774435299515
587,BGR,2020,6934015.0,10198.5388313404,1.67244096855756
588,BGR,2019,6975761.0,9838.60058985384,3.10372944796781
589,BGR,2018,7025037.0,9436.14479876055,2.81454473824829
590,BGR,2017,7075947.0,8381.88134621669,2.06159619443141
591,BGR,2016,7127822.0,7570.93165511708,-0.79864988645371
592,BGR,2015,7177991.0,7078.86032298969,-0.104633261008385
593,BGR,2014,7223938.0,7912.27484371138,-1.4181838026484
594,BGR,2013,7265115.0,7687.71368243317,0.890093540913002
595,BGR,2012,7305888.0,7430.7373804242,2.95456829831022
596,BGR,2011,7348328.0,7857.16706984441,4.21990346601873
597,BGR,2010,7395599.0,6863.66706774052,2.43899060504113
598,BGR,2009,7444443.0,6988.27316296465,2.75320223914816
599,BGR,2008,7492561.0,7271.30338858025,12.3487195994021
600,BGR,2007,7545338.0,5888.77685220636,8.40253419005901
601,BGR,2006,7601022.0,4523.1465578805,7.26159462769944
602,BGR,2005,7658972.0,3899.82596332878,5.03883807111902
603,BGR,2004,7716860.0,3389.68743360274,6.14713074246273
604,BGR,2003,7775327.0,2719.49436859287,2.34864169582755
605,BGR,2002,7837161.0,2092.98288625558,5.81014365721825
606,BGR,2001,8009142.0,1770.90704918691,7.36093927231844
607,BGR,2000,8170172.0,1621.26210738992,10.316262128999
608,BGR,1999,8210624.0,1659.71861105493,2.57304281890206
609,BGR,1998,8256786.0,1820.44866449942,18.672204442064
610,BGR,1997,8312068.0,1361.40938439884,1058.37355921973
611,BGR,1996,8362826.0,1470.19259250682,121.60754244925
612,BGR,1995,8406067.0,2259.25922555221,62.0548336837992
613,BGR,1994,8443591.0,1148.4943993817,96.0573382686505
614,BGR,1993,8472313.0,1278.52511370319,72.8787913866333
615,BGR,1992,8540164.0,1211.98087810931,91.2979327269303
616,BGR,1991,8632367.0,1267.73437541485,338.449111470112
617,BGR,1990,8718289.0,2366.52982128614,23.8000000000003
618,BGR,1989,8876972.0,2477.0208179596,6.38888888888878
619,BGR,1988,8981446.0,2511.39306259489,2.36966824644552
620,BGR,1987,8971359.0,3132.30136036246,2.72638753651409
621,BGR,1986,8958171.0,2260.4272811545,2.69999999999986
622,BGR,1985,8960547.0,1914.55064658793,
623,BGR,1984,8960679.0,1963.57267618274,
624,BGR,1983,8939738.0,1852.81343442802,
625,BGR,1982,8917457.0,2169.00401089683,
626,BGR,1981,8891117.0,2234.81481573125,
627,BGR,1980,8861535.0,2238.80295786574,
628,BGR,1979,8825940.0,,
629,BGR,1978,8814032.0,,
630,BGR,1977,8804183.0,,
